CWS	0
providing	0
emergency	1
food	1
packages	1
to	0
families	0
hit	0
by	0
#floods	0
in	0
#Pakistan	0
http://t.co/M0NkYU6d01	0

Wanna	0
travel	0
back	0
to	0
stone	0
age	0
?	0
Book	0
your	0
ticket	0
to	0
Pakistan	0
-	0
no	0
electricity	0
,	0
no	1
food	1
,	0
no	0
drinking	0
water	0
,	0
no	0
fuel	0
and	0
flood	0
everywhere	0
.	0

Ft	0
Collins	0
community	0
is	0
keeping	0
everyone	0
from	0
#highparkfire	0
well-fed	1
.	0
Today	0
:	0
fresh-grilled	0
Tacos	0
On	0
the	0
Street	0
.	0

100%	0
of	0
profits	0
from	0
these	0
awesome	0
tees	0
benefit	0
CO	0
Red	0
Cross	0
&	0
Care	1
and	1
Share	1
Food	1
Bank	1
:	0
http://t.co/3v6tw16d	0
-	0
help	0
victims	0
of	0
CO	0
#Wildfire	0

Boulder	0
County	0
amends	0
fire	0
ban	0
to	0
allow	0
charcoal	0
grills	0
in	0
some	0
locations	0
:	0
BOULDER	0
--	0
Firing	1
up	1
the	1
grill	1
this	0
...	0
http://t.co/nd59wcBf	0

RT	0
@akcdoglovers	0
:	0
AKC	0
CAR	0
donates	0
to	0
help	0
displaced	1
animals	1
in	0
the	0
Colorado	0
wildfires	0
http://t.co/6xyBDyv9	0

@paulocoelho	0
Bohol	0
,	0
Philippines	0
has	0
been	0
hit	0
by	0
a	0
7.2	0
mag	0
earthquake	0
,	0
90%	0
homeless	0
,	0
no	1
food	1
water	0
&	0
medicine	0
.	0
Pls	0
!!!	0
http://t.co/fSaXm7m6vm	0

[	0
Admin	0
]	0
NFA	0
releases	0
25,850	1
bags	1
of	1
rice	1
for	0
calamity	0
victims	0
,	0
including	0
9,406	0
bags	0
for	0
Cebu	0
and	0
Bohol	0
...	0
http://t.co/vvv2kCHNFX	0
#reliefPH	0

[	0
Admin	0
]	0
NFA	0
releases	0
25,850	0
bags	0
of	0
rice	0
for	0
calamity	0
victims	0
,	0
including	0
9,406	1
bags	1
for	0
Cebu	0
and	0
Bohol	0
...	0
http://t.co/vvv2kCHNFX	0
#reliefPH	0

Guys	0
we	0
badly	0
need	0
your	0
help	0
for	0
the	0
victims	0
of	0
7.2	0
earthquake	0
last	0
tuesday	0
in	0
Bohol	0
,	0
Philippines	0
.	0
We	0
need	0
food	1
,	0
water	0
,	0
gasoline	0
,	0
and	0
candles	0
.	0

RT	0
@tweetnirizal	0
:	0
Think	0
of	0
the	0
hungry	1
children	1
of	0
Bohol	0
begging	0
for	0
food	0
when	0
you	0
post	0
your	0
dinner	0
on	0
Instagram	0
.	0
#Bohol	0

RT	0
@tweetnirizal	0
:	0
Think	0
of	0
the	0
hungry	0
children	0
of	0
Bohol	0
begging	1
for	1
food	1
when	0
you	0
post	0
your	0
dinner	0
on	0
Instagram	0
.	0
#Bohol	0
